ArrayTam,Real Time,I Refs,I1 Misses,LLi Misses,D Refs,D1 Misses,LLd Misses,LL Refs,LL Misses
500,0.104850,42888343,1291,1161,30213276,3505,2844,4796,4005
1000,0.214966,85388225,1278,1151,60213233,3569,2893,4847,4044
5000,1.127365,425388024,1260,1142,300213196,3128462,3394,3129722,4536
10000,2.202649,850388030,1258,1141,600213196,6258461,4045,6259719,5186
15000,3.332005,1275388030,1258,1145,900213198,9383457,4734,9384715,5879
20000,4.424469,1700388040,1258,1163,1200213198,12508461,5427,12509719,6590
25000,5.601704,2125388044,1259,1176,1500213200,15633460,6100,15634719,7276
30000,6.660139,2550388040,1258,1175,1800213198,18758462,6734,18759720,7909
35000,7.915006,2975388054,1259,1176,2100213202,21883465,12604856,21884724,12606032
40000,8.973822,3400388268,1269,1184,2400213248,25008471,25008006,25009740,25009190
45000,10.143587,3825389059,1287,1200,2700213621,28133468,28133006,28134755,28134206
50000,11.148117,4250389082,1287,1200,3000213630,31258472,31258008,31259759,31259208
55000,12.370882,4675389129,1287,1200,3300213639,34383472,34383008,34384724,34384208
60000,13.416225,5100389115,1287,1200,3600213632,37508471,37508008,37509758,37509208
65000,14.674013,5525389062,1287,1200,3900213621,40633469,40633008,40634724,40634208
70000,15.716658,5950389062,1287,1200,4200213621,43758469,43758010,43759724,43759210
75000,16.798119,6375389062,1287,1200,4500213621,46883469,46883010,46884724,46884210
80000,17.838109,6800389062,1287,1200,4800213621,50008469,50008010,50009724,50009210
85000,18.974892,7225389062,1287,1200,5100213621,53133469,53133012,53134724,53134212
90000,20.080654,7650389062,1287,1200,5400213621,56258469,56258012,56259724,56259212
95000,21.124004,8075389062,1287,1200,5700213621,59383469,59383012,59384724,59384212
100000,22.220303,8500389062,1287,1200,6000213621,62508469,62508015,62509724,62509215
