ArrayTam,Real Time,I Refs,I1 Misses,LLi Misses,D Refs,D1 Misses,LLd Misses,LL Refs,LL Misses
500,0.096337,37332889,1263,1141,22768160,3500,2843,4763,3984
1000,0.196513,74207833,1250,1131,45268120,3563,2892,4813,4023
5000,1.005107,369207632,1234,1122,225268083,3133457,3394,3134691,4516
10000,1.991461,737957662,1234,1123,450268092,6258458,4042,6259692,5165
15000,3.045550,1106707669,1234,1122,675268094,9383453,3394,3134691,4516
20000,4.083539,1475457668,1233,1140,900268092,12508458,5426,12509691,6566
25000,5.155726,1844207672,1234,1153,1125268094,15633457,6098,15634691,7251
30000,6.078391,2212957672,1234,1153,1350268094,18758459,6732,18759693,7885
35000,7.205309,2581707682,1234,1153,1575268096,21878460,12604854,21884695,12606007
40000,8.120959,2950457900,1233,1163,1800268144,25003469,5426,12509712,25009167
45000,9.309050,3319207682,1244,1163,2025268096,28034653,28128005,28129723,28129179
50000,10.181730,3687958771,1261,1178,2250268537,31258469,31258006,31259729,31259184
55000,11.363810,4056708665,1261,1178,2475268510,34383469,34383006,34384729,34384184
60000,12.248525,4425458743,1261,1178,2700268526,37508468,37508006,37509729,37509184
65000,13.441033,4794208690,1261,1178,2925268515,40633465,40633006,40634729,40634184
70000,14.371742,5162958726,1261,1178,3150268524,43758467,43758006,43759729,43759184
75000,15.537437,5531708757,1261,1178,3375268532,46883465,46883006,46884729,46884184
80000,16.376476,5900458870,1261,1178,3600268560,50008467,50008006,50009729,50009184
85000,17.586372,6269208763,1261,1178,3825268555,53133465,53133006,53134729,53134184
90000,18.548269,6637958902,1261,1178,4050268592,56258465,56258006,56259729,56259184
95000,19.748380,7006708833,1261,1178,4275268590,59383466,59383006,59384729,59384184
100000,20.705765,7375459024,1261,1178,4500268618,62508467,62508006,62509729,62509184
